,Starters,Date,MP_x,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP_y,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
5,Tony Wroten,2013-10-30,23:23,6,9,.667,1,3,.333,1,2,.500,1,3,4,2,1,0,2,1,14,+3,23:23,.709,.722,.333,.222,6.4,15.8,11.6,13.4,2.1,0.0,16.8,22.5,121,114
6,Lavoy Allen,2013-10-30,17:25,1,3,.333,0,0,,2,2,1.000,0,3,3,0,0,0,0,2,4,-2,17:25,.515,.333,.000,.667,0.0,21.2,11.6,0.0,0.0,0.0,0.0,9.9,117,118
7,Daniel Orton,2013-10-30,14:52,1,1,1.000,0,0,,2,2,1.000,0,1,1,0,1,1,1,4,4,-6,14:52,1.064,1.000,.000,2.000,0.0,8.3,4.5,0.0,3.3,7.2,34.7,8.6,133,107
8,Darius Morris,2013-10-30,11:50,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-8,11:50,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,7.5,79,121
9,Hollis Thompson,2013-10-30,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
10,Brandon Davies,2013-10-30,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
11,Kwame Brown,2013-10-30,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Damian Lillard,2013-10-30,42:12,10,20,.500,6,12,.500,6,8,.750,2,2,4,2,1,1,0,2,32,-11,42:12,.680,.650,.600,.400,4.8,5.8,5.3,10.5,1.2,1.8,0.0,25.6,143,114
1,LaMarcus Aldridge,2013-10-30,39:26,12,22,.545,0,0,,4,5,.800,1,3,4,2,0,0,2,2,28,-16,39:26,.579,.545,.000,.227,2.6,9.4,5.7,13.2,0.0,0.0,7.6,30.5,111,117
2,Nicolas Batum,2013-10-30,36:44,3,9,.333,1,5,.200,0,0,,2,11,13,4,1,1,4,2,7,-15,36:44,.389,.389,.556,.000,5.6,36.9,19.8,18.0,1.4,2.0,30.8,16.2,72,106
3,Robin Lopez,2013-10-30,33:34,1,4,.250,0,0,,1,4,.250,1,1,2,2,2,2,1,3,3,-2,33:34,.260,.250,.000,1.000,3.0,3.7,3.3,9.1,3.1,4.5,14.8,9.2,66,109
4,Wesley Matthews,2013-10-30,33:09,3,9,.333,1,4,.250,2,2,1.000,2,5,7,4,0,0,1,1,9,-10,33:09,.455,.389,.444,.222,6.2,18.6,11.8,20.2,0.0,0.0,9.2,15.1,107,115
5,Mo Williams,2013-10-30,21:53,1,9,.111,0,4,.000,0,0,,0,2,2,3,1,1,3,2,2,-6,21:53,.111,.111,.444,.000,0.0,11.2,5.1,21.4,2.4,3.4,25.0,25.2,32,109
6,Dorell Wright,2013-10-30,12:16,0,2,.000,0,1,.000,3,3,1.000,0,1,1,1,0,0,1,0,3,-3,12:16,.452,.000,.500,1.500,0.0,10.0,4.6,11.9,0.0,0.0,23.1,16.2,85,117
7,Joel Freeland,2013-10-30,12:12,1,3,.333,0,0,,1,2,.500,3,1,4,1,0,0,1,2,3,-5,12:12,.387,.333,.000,.667,25.1,10.1,18.3,13.5,0.0,0.0,20.5,18.4,95,117
8,Thomas Robinson,2013-10-30,8:34,2,3,.667,0,0,,0,0,,0,2,2,0,0,0,0,0,4,+3,8:34,.667,.667,.000,.000,0.0,28.7,13.0,0.0,0.0,0.0,0.0,16.1,128,113
9,Meyers Leonard,2013-10-30,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
10,Will Barton,2013-10-30,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
11,Allen Crabbe,2013-10-30,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
12,Victor Claver,2013-10-30,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Goran Dragic,2013-10-30,41:06,12,21,.571,1,4,.250,1,1,1.000,0,6,6,9,1,0,3,4,26,+16,41:06,.606,.595,.190,.048,0.0,14.9,8.1,36.3,1.3,0.0,12.3,26.9,122,101
1,Miles Plumlee,2013-10-30,39:56,8,14,.571,0,0,,2,2,1.000,5,10,15,0,0,3,2,1,18,+18,39:56,.605,.571,.000,.143,15.4,25.6,21.0,0.0,0.0,6.6,11.8,19.2,121,96
2,Eric Bledsoe,2013-10-30,38:52,7,12,.583,0,3,.000,8,11,.727,0,7,7,6,1,0,4,2,22,+8,38:52,.653,.583,.250,.917,0.0,18.4,10.1,21.6,1.3,0.0,19.2,24.3,118,100
