,Team Name,Date,MP_x,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP_y,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
12,Philadelphia 76ers,2016-11-16,240,42,77,.545,10,28,.357,15,22,.682,5,36,41,30,6,1,17,26,109,,240,.629,.610,.364,.286,14.7,76.6,50.6,71.4,6.1,1.5,16.4,100.0,111.2,104.1
13,San Antonio Spurs,2016-11-16,240,43,88,.489,11,30,.367,13,17,.765,9,28,37,29,11,7,11,21,110,,240,.576,.551,.341,.193,20.0,73.7,44.6,67.4,11.6,12.5,10.3,100.0,116.2,110.9
12,Sacramento Kings,2016-11-16,240,36,76,.474,9,20,.450,24,31,.774,10,36,46,21,5,3,16,17,105,,240,.586,.533,.263,.408,26.3,80.0,55.4,58.3,5.3,5.2,15.1,100.0,110.9,116.2
13,Golden State Warriors,2016-11-16,240,44,87,.506,13,36,.361,26,28,.929,7,28,35,33,9,7,12,25,127,,240,.639,.580,.414,.322,17.5,68.3,43.2,75.0,9.0,12.3,10.8,100.0,127.5,121.4
13,Toronto Raptors,2016-11-16,240,37,82,.451,10,25,.400,37,41,.902,13,33,46,16,8,1,14,22,121,,240,.605,.512,.305,.500,31.7,82.5,56.8,43.2,8.0,2.0,12.3,100.0,121.4,127.5
13,Portland Trail Blazers,2016-11-17,240,41,90,.456,10,28,.357,17,21,.810,10,31,41,24,6,4,12,19,109,,240,.549,.511,.311,.233,21.3,64.6,43.2,58.5,6.0,6.3,10.8,100.0,109.7,126.8
13,Houston Rockets,2016-11-17,240,46,95,.484,14,32,.438,20,25,.800,17,37,54,26,6,6,13,17,126,,240,.594,.558,.337,.263,35.4,78.7,56.8,56.5,6.0,9.7,10.9,100.0,126.8,109.7
13,Milwaukee Bucks,2016-11-17,240,28,85,.329,7,23,.304,10,13,.769,12,36,48,20,4,8,13,20,73,,240,.402,.371,.271,.153,22.2,67.9,44.9,71.4,4.4,11.9,12.5,100.0,80.2,105.4
13,Miami Heat,2016-11-17,240,39,97,.402,7,30,.233,11,21,.524,17,42,59,19,5,8,7,18,96,,240,.452,.438,.309,.216,32.1,77.8,55.1,48.7,5.5,12.9,6.2,100.0,105.4,80.2
12,Philadelphia 76ers,2016-11-17,240,31,83,.373,9,32,.281,15,19,.789,13,27,40,15,9,2,15,17,86,,240,.471,.428,.386,.229,27.7,64.3,44.9,48.4,10.0,3.4,14.1,100.0,95.5,122.1
